,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
189,2025-03-14 17:00:04.540000,-0.47143555,0.79956055,0.32080078,1.5258788,3.601074,-0.8544921
190,2025-03-14 17:00:04.550000,-0.47021484,0.8017578,0.31591797,1.3427733,2.9907224,-0.8544921
191,2025-03-14 17:00:04.560000,-0.46875,0.80126953,0.31762695,1.0375977,2.4414062,-0.793457
192,2025-03-14 17:00:04.570000,-0.4675293,0.8010254,0.3137207,0.793457,1.5258788,-0.97656244
193,2025-03-14 17:00:04.580000,-0.4663086,0.8063965,0.30810547,0.67138666,0.48828122,-1.2207031
194,2025-03-14 17:00:04.590000,-0.46435547,0.8078613,0.3112793,0.061035153,-0.42724606,-1.2207031
195,2025-03-14 17:00:04.600000,-0.46044922,0.8088379,0.31054688,-0.48828122,-1.2207031,-1.2207031
196,2025-03-14 17:00:04.610000,-0.46044922,0.8100586,0.30859375,-0.793457,-1.8310546,-1.4038085
197,2025-03-14 17:00:04.620000,-0.4621582,0.8105469,0.30981445,-1.4038085,-2.1362305,-1.4038085
198,2025-03-14 17:00:04.630000,-0.46142578,0.80737305,0.31689453,-1.8310546,-2.380371,-1.2207031
199,2025-03-14 17:00:04.640000,-0.45751953,0.79956055,0.32495117,-2.1972656,-2.868652,-1.2207031
200,2025-03-14 17:00:04.650000,-0.4580078,0.79956055,0.3293457,-2.0751953,-3.1127927,-1.6479491
201,2025-03-14 17:00:04.660000,-0.45874023,0.8010254,0.3359375,-2.1362305,-3.1127927,-1.7700194
202,2025-03-14 17:00:04.670000,-0.46044922,0.7922363,0.34179688,-2.0141602,-3.0517576,-1.5258788
203,2025-03-14 17:00:04.680000,-0.4699707,0.7902832,0.3491211,-1.3427733,-2.9907224,-1.7089843
204,2025-03-14 17:00:04.690000,-0.47705078,0.79833984,0.34960938,-0.67138666,-2.9296873,-1.7700194
205,2025-03-14 17:00:04.700000,-0.4753418,0.80200195,0.34716797,-0.48828122,-2.5634763,-1.586914
206,2025-03-14 17:00:04.710000,-0.47729492,0.8071289,0.34765625,-0.42724606,-2.0141602,-1.2207031
207,2025-03-14 17:00:04.720000,-0.47460938,0.80566406,0.34570312,-0.30517578,-1.4648436,-0.8544921
208,2025-03-14 17:00:04.730000,-0.47192383,0.8095703,0.34179688,-0.3662109,-0.9155273,-0.5493164
209,2025-03-14 17:00:04.740000,-0.4658203,0.8112793,0.3359375,-0.42724606,-0.61035156,-0.122070305
210,2025-03-14 17:00:04.750000,-0.46069336,0.81225586,0.33447266,-0.7324218,0.0,0.3662109
211,2025-03-14 17:00:04.760000,-0.45654297,0.8093262,0.33544922,-0.97656244,1.0375977,0.42724606
212,2025-03-14 17:00:04.770000,-0.45043945,0.8054199,0.3388672,-1.0375977,1.7700194,0.3662109
213,2025-03-14 17:00:04.780000,-0.4482422,0.8005371,0.3388672,-1.2207031,2.2583008,0.0
